total_std_bin,total_std_lo,total_std_hi,pred_bin,pred_lo,pred_hi,n,mean_alpha,std_alpha,mean_GT,mean_pred,mean_total_std,axis,eps
0,0.0,0.01,1,-0.57,-0.45699999999999996,1155,0.6239845156669617,0.8147070407867432,-0.4993657171726227,-0.5010490417480469,0.08490698784589767,x,0
0,0.0,0.01,2,-0.45699999999999996,-0.344,42692,0.596498966217041,3.528251886367798,-0.3801489472389221,-0.3779289126396179,0.01835472323000431,x,0
0,0.0,0.01,3,-0.344,-0.23099999999999998,25252,1.0325628519058228,2.884567975997925,-0.30305635929107666,-0.28981679677963257,0.1255050003528595,x,0
0,0.0,0.01,4,-0.23099999999999998,-0.118,22496,1.308578372001648,4.60114049911499,-0.1830877959728241,-0.17393679916858673,0.07012458890676498,x,0
0,0.0,0.01,5,-0.118,-0.0050000000000000044,22988,1.7507715225219727,41.12699890136719,-0.06072315201163292,-0.06246253103017807,0.0721910297870636,x,0
0,0.0,0.01,7,0.095,0.19,16721,-2.0366876125335693,9.022828102111816,0.1457984894514084,0.1424988955259323,0.075023353099823,x,0
0,0.0,0.01,8,0.19,0.28500000000000003,16658,-0.6583968997001648,4.544161796569824,0.23861585557460785,0.23773548007011414,0.06544351577758789,x,0
0,0.0,0.01,9,0.28500000000000003,0.38,25911,-1.3224085569381714,2.9823415279388428,0.3375617563724518,0.3429996967315674,0.025015156716108322,x,0
0,0.0,0.01,10,0.38,0.475,5628,-1.370291829109192,4.4941511154174805,0.40162181854248047,0.4021865427494049,0.04816320165991783,x,0
0,0.0,0.01,11,0.475,0.57,1273,0.22894398868083954,0.8893049359321594,0.5103636980056763,0.506100594997406,0.13933680951595306,x,0
1,0.01,0.27263157894736845,1,-0.57,-0.45699999999999996,814,0.3806522488594055,0.7610852718353271,-0.5048571228981018,-0.5093191266059875,0.11683741956949234,x,0
1,0.01,0.27263157894736845,2,-0.45699999999999996,-0.344,6991,0.3877961337566376,3.652029037475586,-0.3827551007270813,-0.37530556321144104,0.09313823282718658,x,0
1,0.01,0.27263157894736845,3,-0.344,-0.23099999999999998,18987,1.0287500619888306,1.9781875610351562,-0.30814751982688904,-0.2906773090362549,0.1648872345685959,x,0
1,0.01,0.27263157894736845,4,-0.23099999999999998,-0.118,15667,1.4623098373413086,3.037752628326416,-0.1871403604745865,-0.1739557534456253,0.09786395728588104,x,0
1,0.01,0.27263157894736845,5,-0.118,-0.0050000000000000044,15952,1.1244533061981201,29.255735397338867,-0.06055673956871033,-0.063203826546669,0.10110068321228027,x,0
1,0.01,0.27263157894736845,7,0.095,0.19,10142,0.11243735253810883,8.040018081665039,0.15017768740653992,0.1424257755279541,0.11958056688308716,x,0
1,0.01,0.27263157894736845,8,0.19,0.28500000000000003,9959,0.14386792480945587,4.5814361572265625,0.23989470303058624,0.23707100749015808,0.10516107082366943,x,0
1,0.01,0.27263157894736845,9,0.28500000000000003,0.38,10462,-0.9935412406921387,3.37191104888916,0.31762582063674927,0.3282516300678253,0.05448028817772865,x,0
1,0.01,0.27263157894736845,10,0.38,0.475,2392,-0.2557954788208008,4.138155937194824,0.4230094850063324,0.4203614592552185,0.10806695371866226,x,0
1,0.01,0.27263157894736845,11,0.475,0.57,1260,0.21840250492095947,0.8864566087722778,0.5106252431869507,0.506377100944519,0.14067389070987701,x,0
2,0.27263157894736845,0.5352631578947369,1,-0.57,-0.45699999999999996,193,-0.2037716954946518,0.25525039434432983,-0.46415650844573975,-0.49272942543029785,0.36499056220054626,x,0
2,0.27263157894736845,0.5352631578947369,2,-0.45699999999999996,-0.344,524,0.15313638746738434,0.3010016977787018,-0.43709906935691833,-0.3925750255584717,0.8246944546699524,x,0
2,0.27263157894736845,0.5352631578947369,3,-0.344,-0.23099999999999998,3232,0.22403192520141602,0.6465334892272949,-0.3157861530780792,-0.2936268746852875,0.7096590995788574,x,0
2,0.27263157894736845,0.5352631578947369,4,-0.23099999999999998,-0.118,1797,0.9591870903968811,1.9307371377944946,-0.24958650767803192,-0.18207116425037384,0.4627048969268799,x,0
2,0.27263157894736845,0.5352631578947369,5,-0.118,-0.0050000000000000044,1838,-1.203157663345337,13.960973739624023,-0.057238515466451645,-0.06060006469488144,0.5073116421699524,x,0
2,0.27263157894736845,0.5352631578947369,7,0.095,0.19,1009,0.7535819411277771,1.3893578052520752,0.20400263369083405,0.14566871523857117,0.8321245312690735,x,0
2,0.27263157894736845,0.5352631578947369,8,0.19,0.28500000000000003,917,0.46817728877067566,0.8468912243843079,0.27114900946617126,0.23098236322402954,0.6275784969329834,x,0
2,0.27263157894736845,0.5352631578947369,9,0.28500000000000003,0.38,348,0.15618841350078583,0.5358487367630005,0.3502996563911438,0.3366731107234955,0.4452246427536011,x,0
2,0.27263157894736845,0.5352631578947369,10,0.38,0.475,223,-0.10316433757543564,0.40556129813194275,0.3910277485847473,0.4253668785095215,0.6558194756507874,x,0
2,0.27263157894736845,0.5352631578947369,11,0.475,0.57,139,-0.002487519755959511,0.1047113910317421,0.514038622379303,0.5131785273551941,0.838191032409668,x,0
3,0.5352631578947369,0.7978947368421053,1,-0.57,-0.45699999999999996,11,0.15820002555847168,0.05493887513875961,-0.5038724541664124,-0.46473363041877747,0.5638099312782288,x,0
3,0.5352631578947369,0.7978947368421053,2,-0.45699999999999996,-0.344,367,0.15471957623958588,0.18699656426906586,-0.45131784677505493,-0.3957342505455017,1.017176866531372,x,0
3,0.5352631578947369,0.7978947368421053,3,-0.344,-0.23099999999999998,1605,0.00405480619519949,0.29949143528938293,-0.2979501783847809,-0.30064457654953003,1.0523171424865723,x,0
3,0.5352631578947369,0.7978947368421053,4,-0.23099999999999998,-0.118,302,0.3175673484802246,1.471596360206604,-0.25245311856269836,-0.18808762729167938,0.97325599193573,x,0
3,0.5352631578947369,0.7978947368421053,5,-0.118,-0.0050000000000000044,512,0.3051309585571289,15.574159622192383,-0.12798038125038147,-0.0717090517282486,0.8214462995529175,x,0
3,0.5352631578947369,0.7978947368421053,7,0.095,0.19,551,0.6937931180000305,1.2493706941604614,0.20476862788200378,0.14630527794361115,1.1989318132400513,x,0
3,0.5352631578947369,0.7978947368421053,8,0.19,0.28500000000000003,475,0.46871456503868103,1.0217514038085938,0.26252222061157227,0.22592614591121674,0.8709027171134949,x,0
3,0.5352631578947369,0.7978947368421053,9,0.28500000000000003,0.38,95,0.14587150514125824,0.8405627608299255,0.3181190490722656,0.3182124197483063,0.6248703598976135,x,0
3,0.5352631578947369,0.7978947368421053,10,0.38,0.475,101,-0.18777920305728912,0.19534416496753693,0.3791138231754303,0.4361008405685425,0.9781596064567566,x,0
