total_std_bin,total_std_lo,total_std_hi,pred_bin,pred_lo,pred_hi,n,mean_alpha,std_alpha,mean_GT,mean_pred,mean_total_std,axis
0,0.0,0.01,1,-0.57,-0.45699999999999996,352,0.5330775380134583,0.4162745177745819,-0.5068876147270203,-0.4918511211872101,0.07313092052936554,x
0,0.0,0.01,2,-0.45699999999999996,-0.344,4523,0.14227791130542755,3.2683522701263428,-0.38116228580474854,-0.3782353103160858,0.010446447879076004,x
0,0.0,0.01,3,-0.344,-0.23099999999999998,4344,-1.4269683361053467,3.018361806869507,-0.2845199406147003,-0.28882071375846863,0.00979201402515173,x
0,0.0,0.01,4,-0.23099999999999998,-0.118,4174,-0.054671335965394974,4.849152565002441,-0.17267219722270966,-0.17447823286056519,0.009944545105099678,x
0,0.0,0.01,5,-0.118,-0.0050000000000000044,4343,1.5751841068267822,29.43161964416504,-0.05891735106706619,-0.06033555045723915,0.01019322220236063,x
0,0.0,0.01,7,0.095,0.19,3735,-0.47905972599983215,4.63668966293335,0.1442502737045288,0.14236041903495789,0.009519956074655056,x
0,0.0,0.01,8,0.19,0.28500000000000003,3729,-0.5329245328903198,3.2486796379089355,0.2375829964876175,0.2371741682291031,0.010679329745471478,x
0,0.0,0.01,9,0.28500000000000003,0.38,10206,-1.7446601390838623,2.7309484481811523,0.3536938428878784,0.35603559017181396,0.005257932003587484,x
0,0.0,0.01,10,0.38,0.475,2850,-1.9638992547988892,1.637475848197937,0.39267560839653015,0.39462724328041077,0.004245011135935783,x
0,0.0,0.01,11,0.475,0.57,438,0.5525532960891724,1.3286964893341064,0.5153309106826782,0.5144281983375549,0.011058783158659935,x
1,0.01,0.1109090909090909,1,-0.57,-0.45699999999999996,347,0.541204571723938,0.4002789855003357,-0.5074875950813293,-0.4922025799751282,0.0740424245595932,x
1,0.01,0.1109090909090909,2,-0.45699999999999996,-0.344,1002,0.2256411612033844,3.981269598007202,-0.40543198585510254,-0.39382070302963257,0.031102316454052925,x
1,0.01,0.1109090909090909,3,-0.344,-0.23099999999999998,1218,-2.000999927520752,1.9295344352722168,-0.28011438250541687,-0.2903367280960083,0.019284449517726898,x
1,0.01,0.1109090909090909,4,-0.23099999999999998,-0.118,1078,-2.8564236164093018,4.237554550170898,-0.16744068264961243,-0.17589423060417175,0.0208751130849123,x
1,0.01,0.1109090909090909,5,-0.118,-0.0050000000000000044,1076,-6.585737228393555,35.77909851074219,-0.04609110206365585,-0.05550454184412956,0.022057628259062767,x
1,0.01,0.1109090909090909,7,0.095,0.19,1011,4.012999057769775,4.962246417999268,0.15246126055717468,0.14225314557552338,0.01887306571006775,x
1,0.01,0.1109090909090909,8,0.19,0.28500000000000003,981,2.095460891723633,3.7424473762512207,0.24210330843925476,0.23601968586444855,0.02419617399573326,x
1,0.01,0.1109090909090909,9,0.28500000000000003,0.38,696,1.0529018640518188,5.128063678741455,0.324902206659317,0.32690533995628357,0.02357993647456169,x
1,0.01,0.1109090909090909,10,0.38,0.475,199,-0.11135660111904144,2.5136306285858154,0.4220871925354004,0.42611709237098694,0.015373118221759796,x
1,0.01,0.1109090909090909,11,0.475,0.57,265,0.09892909228801727,1.5232586860656738,0.5239384770393372,0.5250064134597778,0.012901871465146542,x
2,0.1109090909090909,0.21181818181818182,1,-0.57,-0.45699999999999996,90,0.32467201352119446,0.21539680659770966,-0.5289417505264282,-0.49478331208229065,0.21460160613059998,x
2,0.1109090909090909,0.21181818181818182,2,-0.45699999999999996,-0.344,66,1.1135718822479248,1.135798454284668,-0.5047510862350464,-0.41587379574775696,0.20176911354064941,x
2,0.1109090909090909,0.21181818181818182,8,0.19,0.28500000000000003,13,-3.566629648208618,1.9182813167572021,0.14351709187030792,0.2522006034851074,0.12494277954101562,x
3,0.21181818181818182,0.31272727272727274,1,-0.57,-0.45699999999999996,43,0.2663726806640625,0.14468111097812653,-0.5364726185798645,-0.500249445438385,0.2748098075389862,x
3,0.21181818181818182,0.31272727272727274,2,-0.45699999999999996,-0.344,22,1.0088542699813843,0.582243800163269,-0.5335498452186584,-0.42008447647094727,0.28104764223098755,x
4,0.31272727272727274,0.41363636363636364,1,-0.57,-0.45699999999999996,11,0.16986306011676788,0.12677928805351257,-0.5415030121803284,-0.5072677135467529,0.3581048250198364,x
4,0.31272727272727274,0.41363636363636364,2,-0.45699999999999996,-0.344,5,1.0852699279785156,0.09756142646074295,-0.5571759343147278,-0.3938577175140381,0.3846648335456848,x
0,0.0,0.01,0,-inf,-0.52,138,0.9203023314476013,0.4703226387500763,-0.5623637437820435,-0.5565190315246582,0.012152017094194889,y
0,0.0,0.01,1,-0.52,-0.4146,234,1.0285710096359253,0.4800773859024048,-0.47108349204063416,-0.4671107828617096,0.008456735871732235,y
0,0.0,0.01,2,-0.4146,-0.30920000000000003,614,0.41971921920776367,2.210528612136841,-0.35104310512542725,-0.3487156331539154,0.01014587190002203,y
0,0.0,0.01,3,-0.30920000000000003,-0.20379999999999998,2405,1.1009472608566284,3.5285918712615967,-0.2460460364818573,-0.24153999984264374,0.009570267982780933,y
0,0.0,0.01,4,-0.20379999999999998,-0.09839999999999999,3914,1.907928705215454,5.510649681091309,-0.15806686878204346,-0.1508973240852356,0.012213531881570816,y
0,0.0,0.01,5,-0.09839999999999999,0.006999999999999999,3851,11.989058494567871,117.6474838256836,-0.05535821244120598,-0.04683510586619377,0.020175911486148834,y
0,0.0,0.01,7,0.10700000000000001,0.2056,3842,-6.913377285003662,6.238831043243408,0.14708839356899261,0.15664874017238617,0.022007372230291367,y
0,0.0,0.01,8,0.2056,0.3042,4511,-3.7335140705108643,3.303130865097046,0.2506580352783203,0.2585620880126953,0.017957521602511406,y
0,0.0,0.01,9,0.3042,0.40279999999999994,16997,-2.0453455448150635,2.159060001373291,0.32979291677474976,0.3333107829093933,0.008302834816277027,y
0,0.0,0.01,10,0.40279999999999994,0.5014,2150,-0.13719452917575836,1.5207407474517822,0.44498589634895325,0.44441530108451843,0.019659871235489845,y
0,0.0,0.01,11,0.5014,0.6,140,-0.36192020773887634,0.7912865281105042,0.5054555535316467,0.5082933902740479,0.011207791976630688,y
1,0.01,0.1109090909090909,0,-inf,-0.52,123,0.8760311603546143,0.47511357069015503,-0.5655827522277832,-0.5597695112228394,0.012480644509196281,y
1,0.01,0.1109090909090909,1,-0.52,-0.4146,30,0.8027780652046204,0.40932899713516235,-0.4999748170375824,-0.4954538345336914,0.011184170842170715,y
1,0.01,0.1109090909090909,2,-0.4146,-0.30920000000000003,199,0.1751844733953476,3.22890043258667,-0.3415602445602417,-0.3375307023525238,0.01672196201980114,y
1,0.01,0.1109090909090909,3,-0.30920000000000003,-0.20379999999999998,532,0.8643115162849426,5.386737823486328,-0.2686671018600464,-0.25324520468711853,0.02380094677209854,y
1,0.01,0.1109090909090909,4,-0.20379999999999998,-0.09839999999999999,755,4.029063701629639,11.04887866973877,-0.18086108565330505,-0.15005633234977722,0.03776504844427109,y
1,0.01,0.1109090909090909,5,-0.09839999999999999,0.006999999999999999,783,17.059310913085938,184.8988800048828,-0.08037443459033966,-0.04704156517982483,0.07641986757516861,y
1,0.01,0.1109090909090909,7,0.10700000000000001,0.2056,766,-3.721965789794922,11.025808334350586,0.135454922914505,0.1567525863647461,0.08636454492807388,y
1,0.01,0.1109090909090909,8,0.2056,0.3042,946,-0.4664795994758606,4.710803508758545,0.23953601717948914,0.2537258267402649,0.06279319524765015,y
1,0.01,0.1109090909090909,9,0.3042,0.40279999999999994,2286,-0.5421421527862549,2.984269142150879,0.3459010124206543,0.351574182510376,0.03084549494087696,y
1,0.01,0.1109090909090909,10,0.40279999999999994,0.5014,912,0.42683887481689453,1.8114434480667114,0.44924426078796387,0.44598397612571716,0.035972561687231064,y
1,0.01,0.1109090909090909,11,0.5014,0.6,101,-0.5075811743736267,0.8416554927825928,0.5050598382949829,0.508928120136261,0.012080895714461803,y
2,0.1109090909090909,0.21181818181818182,4,-0.20379999999999998,-0.09839999999999999,12,-22.681137084960938,14.786640167236328,0.3366943597793579,-0.12275928258895874,0.20748160779476166,y
2,0.1109090909090909,0.21181818181818182,5,-0.09839999999999999,0.006999999999999999,33,-4.3839569091796875,31.324125289916992,0.2606578767299652,-0.05210679769515991,0.959191083908081,y
2,0.1109090909090909,0.21181818181818182,7,0.10700000000000001,0.2056,35,-0.32893481850624084,1.322187066078186,0.22632566094398499,0.15016019344329834,1.0680054426193237,y
2,0.1109090909090909,0.21181818181818182,8,0.2056,0.3042,53,-0.4462013244628906,1.2712825536727905,0.26559746265411377,0.25709646940231323,0.6038066148757935,y
2,0.1109090909090909,0.21181818181818182,9,0.3042,0.40279999999999994,67,0.06082077696919441,1.5063774585723877,0.36144208908081055,0.35438472032546997,0.4002622067928314,y
2,0.1109090909090909,0.21181818181818182,10,0.40279999999999994,0.5014,63,0.3744494318962097,1.3720897436141968,0.4439607560634613,0.4452103078365326,0.25196120142936707,y
3,0.21181818181818182,0.31272727272727274,4,-0.20379999999999998,-0.09839999999999999,5,-15.306109428405762,7.912352561950684,0.3667210042476654,-0.11723247915506363,0.30456259846687317,y
3,0.21181818181818182,0.31272727272727274,5,-0.09839999999999999,0.006999999999999999,26,-5.700691223144531,34.70244216918945,0.3260380029678345,-0.04918989911675453,1.1750247478485107,y
3,0.21181818181818182,0.31272727272727274,7,0.10700000000000001,0.2056,27,0.09592337906360626,1.2264353036880493,0.26057034730911255,0.1515999138355255,1.3403681516647339,y
3,0.21181818181818182,0.31272727272727274,8,0.2056,0.3042,41,-0.2308443784713745,1.0903624296188354,0.27807003259658813,0.25784632563591003,0.7354881763458252,y
3,0.21181818181818182,0.31272727272727274,9,0.3042,0.40279999999999994,46,0.23724617063999176,1.2174454927444458,0.37435203790664673,0.3530518412590027,0.5133047699928284,y
3,0.21181818181818182,0.31272727272727274,10,0.40279999999999994,0.5014,26,0.10101808607578278,1.0276910066604614,0.4235801100730896,0.4360789954662323,0.40118691325187683,y
4,0.31272727272727274,0.41363636363636364,5,-0.09839999999999999,0.006999999999999999,21,-2.360945701599121,36.59175491333008,0.36231306195259094,-0.0506904236972332,1.3924226760864258,y
4,0.31272727272727274,0.41363636363636364,7,0.10700000000000001,0.2056,25,0.21951107680797577,1.2070666551589966,0.27107125520706177,0.1485954374074936,1.4272444248199463,y
4,0.31272727272727274,0.41363636363636364,8,0.2056,0.3042,34,0.0017477640649303794,1.0829520225524902,0.298005610704422,0.25609850883483887,0.829940676689148,y
4,0.31272727272727274,0.41363636363636364,9,0.3042,0.40279999999999994,31,-0.051656126976013184,1.1216336488723755,0.3570968508720398,0.35205933451652527,0.6368165016174316,y
4,0.31272727272727274,0.41363636363636364,10,0.40279999999999994,0.5014,16,0.2547124922275543,0.6853485703468323,0.4409204125404358,0.4329582452774048,0.4883553981781006,y
5,0.41363636363636364,0.5145454545454545,5,-0.09839999999999999,0.006999999999999999,20,-2.56719708442688,37.4710578918457,0.3830776512622833,-0.051281243562698364,1.442725419998169,y
5,0.41363636363636364,0.5145454545454545,7,0.10700000000000001,0.2056,22,0.3995038568973541,1.0841355323791504,0.2968672513961792,0.146388977766037,1.5720086097717285,y
5,0.41363636363636364,0.5145454545454545,8,0.2056,0.3042,26,0.22204823791980743,1.014814019203186,0.3193586468696594,0.25002095103263855,0.9726883769035339,y
5,0.41363636363636364,0.5145454545454545,9,0.3042,0.40279999999999994,21,0.24740701913833618,0.9056397676467896,0.39611706137657166,0.3510400652885437,0.7710221409797668,y
5,0.41363636363636364,0.5145454545454545,10,0.40279999999999994,0.5014,8,0.05113022029399872,0.5075801610946655,0.4341575801372528,0.4261860251426697,0.6055978536605835,y
6,0.5145454545454545,0.6154545454545455,5,-0.09839999999999999,0.006999999999999999,19,-2.0028433799743652,38.158023834228516,0.3769485056400299,-0.04913971573114395,1.4921596050262451,y
6,0.5145454545454545,0.6154545454545455,7,0.10700000000000001,0.2056,19,0.6194265484809875,1.064565658569336,0.3281136453151703,0.14717145264148712,1.7476778030395508,y
6,0.5145454545454545,0.6154545454545455,8,0.2056,0.3042,22,0.3617345690727234,0.9023529291152954,0.3418010473251343,0.24856215715408325,1.0667799711227417,y
6,0.5145454545454545,0.6154545454545455,9,0.3042,0.40279999999999994,16,0.3464416265487671,0.7147921919822693,0.4156436622142792,0.35099488496780396,0.8691805601119995,y
