total_std_bin,total_std_lo,total_std_hi,pred_bin,pred_lo,pred_hi,n,mean_alpha,std_alpha,mean_GT,mean_pred,mean_total_std,axis
0,0.0057374583557248116,0.009318036865442992,2,-0.5199999999999999,-0.46999999999999986,45,-6.158709526062012,13.792706489562988,-0.45155441761016846,-0.4776012897491455,0.009066992439329624,x
0,0.0057374583557248116,0.009318036865442992,3,-0.46999999999999986,-0.4199999999999998,333,-31.35067367553711,45.72150421142578,-0.32464078068733215,-0.4424158036708832,0.008740488439798355,x
0,0.0057374583557248116,0.009318036865442992,4,-0.4199999999999998,-0.3699999999999998,23344,-61.794742584228516,85.99076080322266,-0.2036498486995697,-0.3802911043167114,0.008073005825281143,x
0,0.0057374583557248116,0.009318036865442992,5,-0.3699999999999998,-0.31999999999999973,8642,-91.78221130371094,103.68022155761719,-0.07654484361410141,-0.34425121545791626,0.008433726616203785,x
0,0.0057374583557248116,0.009318036865442992,6,-0.31999999999999973,-0.2699999999999997,11984,-99.8189468383789,113.69552612304688,-0.049489736557006836,-0.2939108908176422,0.008302432484924793,x
0,0.0057374583557248116,0.009318036865442992,7,-0.2699999999999997,-0.21999999999999964,13395,-122.45856475830078,129.87030029296875,0.0026607841718941927,-0.2450011521577835,0.008271453902125359,x
0,0.0057374583557248116,0.009318036865442992,8,-0.21999999999999964,-0.1699999999999996,13135,-140.48081970214844,154.6685791015625,0.02982557751238346,-0.19499057531356812,0.008248425088822842,x
0,0.0057374583557248116,0.009318036865442992,9,-0.1699999999999996,-0.11999999999999955,12966,-167.9359130859375,189.9824676513672,0.0548582598567009,-0.14549443125724792,0.008308373391628265,x
0,0.0057374583557248116,0.009318036865442992,10,-0.11999999999999955,-0.06999999999999951,11268,-200.8261260986328,270.1168212890625,0.061039283871650696,-0.09554855525493622,0.008309203200042248,x
0,0.0057374583557248116,0.009318036865442992,11,-0.06999999999999951,-0.019999999999999463,11245,-285.04339599609375,624.4981079101562,0.05674687772989273,-0.0445593036711216,0.008277279324829578,x
0,0.0057374583557248116,0.009318036865442992,12,-0.019999999999999463,0.030000000000000582,10615,-92.4774169921875,4812.1943359375,0.04147664085030556,0.0045477040112018585,0.008231986314058304,x
0,0.0057374583557248116,0.009318036865442992,13,0.030000000000000582,0.08000000000000063,11165,9.437887191772461,473.4375,0.057279929518699646,0.05542105808854103,0.008242949843406677,x
0,0.0057374583557248116,0.009318036865442992,14,0.08000000000000063,0.13000000000000067,12359,-63.345947265625,224.3350372314453,0.05026227608323097,0.10542668402194977,0.00827953964471817,x
0,0.0057374583557248116,0.009318036865442992,15,0.13000000000000067,0.18000000000000071,13359,-89.25091552734375,154.8582000732422,0.041259340941905975,0.15505295991897583,0.00829023215919733,x
0,0.0057374583557248116,0.009318036865442992,16,0.18000000000000071,0.23000000000000076,12587,-87.39250946044922,117.70140075683594,0.05624283105134964,0.20485179126262665,0.008386172354221344,x
0,0.0057374583557248116,0.009318036865442992,17,0.23000000000000076,0.2800000000000008,13005,-79.10684204101562,100.9691162109375,0.08746671676635742,0.2549353241920471,0.00841610413044691,x
0,0.0057374583557248116,0.009318036865442992,18,0.2800000000000008,0.33000000000000085,12840,-73.81537628173828,92.91765594482422,0.11683641374111176,0.303443968296051,0.008393888361752033,x
0,0.0057374583557248116,0.009318036865442992,19,0.33000000000000085,0.3800000000000009,38758,-42.168453216552734,67.53706359863281,0.2416393756866455,0.370297908782959,0.00832716841250658,x
0,0.0057374583557248116,0.009318036865442992,20,0.3800000000000009,0.43000000000000094,17675,-41.400177001953125,63.43064498901367,0.251943439245224,0.3862113654613495,0.008492397144436836,x
0,0.0057374583557248116,0.009318036865442992,21,0.43000000000000094,0.480000000000001,57,-0.46161124110221863,3.7123308181762695,0.4461359977722168,0.4479672312736511,0.008757509291172028,x
0,0.0057374583557248116,0.009318036865442992,22,0.480000000000001,0.530000000000001,12,-26.135635375976562,0.7688509821891785,0.36856308579444885,0.4864652156829834,0.00927093904465437,x
1,0.009318036865442992,0.01112319938838482,2,-0.5199999999999999,-0.46999999999999986,313,-11.16802978515625,28.895334243774414,-0.43326014280319214,-0.4892995357513428,0.010289314202964306,x
1,0.009318036865442992,0.01112319938838482,3,-0.46999999999999986,-0.4199999999999998,566,-34.991722106933594,49.79206085205078,-0.2848460078239441,-0.44442135095596313,0.010284585878252983,x
1,0.009318036865442992,0.01112319938838482,4,-0.4199999999999998,-0.3699999999999998,13852,-52.295387268066406,64.24393463134766,-0.17715854942798615,-0.3787474036216736,0.010183065198361874,x
1,0.009318036865442992,0.01112319938838482,5,-0.3699999999999998,-0.31999999999999973,11087,-73.65310668945312,74.23515319824219,-0.08608745783567429,-0.3450782597064972,0.010254661552608013,x
1,0.009318036865442992,0.01112319938838482,6,-0.31999999999999973,-0.2699999999999997,12249,-68.36991119384766,78.62892150878906,-0.08927041292190552,-0.29429370164871216,0.010236096568405628,x
1,0.009318036865442992,0.01112319938838482,7,-0.2699999999999997,-0.21999999999999964,13515,-56.694190979003906,87.58842468261719,-0.10393300652503967,-0.2447853833436966,0.010222884826362133,x
1,0.009318036865442992,0.01112319938838482,8,-0.21999999999999964,-0.1699999999999996,13709,-58.75318145751953,104.16446685791016,-0.08066776394844055,-0.19526971876621246,0.010253779590129852,x
1,0.009318036865442992,0.01112319938838482,9,-0.1699999999999996,-0.11999999999999955,10574,-85.10321044921875,137.24179077148438,-0.022205103188753128,-0.14585073292255402,0.010205120779573917,x
1,0.009318036865442992,0.01112319938838482,10,-0.11999999999999955,-0.06999999999999951,9843,-124.63550567626953,203.4873504638672,0.023422660306096077,-0.09535345435142517,0.010206364095211029,x
1,0.009318036865442992,0.01112319938838482,11,-0.06999999999999951,-0.019999999999999463,9635,-242.6685791015625,507.4420471191406,0.05636034533381462,-0.044878944754600525,0.010264702141284943,x
1,0.009318036865442992,0.01112319938838482,12,-0.019999999999999463,0.030000000000000582,9398,-25.783599853515625,3801.173583984375,0.06855986267328262,0.005388537887483835,0.010286778211593628,x
1,0.009318036865442992,0.01112319938838482,13,0.030000000000000582,0.08000000000000063,9578,25.261320114135742,341.6125183105469,0.06475883722305298,0.055325914174318314,0.010298754088580608,x
1,0.009318036865442992,0.01112319938838482,14,0.08000000000000063,0.13000000000000067,11827,-19.573450088500977,165.71502685546875,0.08412893861532211,0.1057826355099678,0.010215139016509056,x
1,0.009318036865442992,0.01112319938838482,15,0.13000000000000067,0.18000000000000071,13372,-33.83525466918945,113.52355194091797,0.10099247843027115,0.15551549196243286,0.010186145082116127,x
1,0.009318036865442992,0.01112319938838482,16,0.18000000000000071,0.23000000000000076,14468,-45.92900466918945,93.46086883544922,0.10969406366348267,0.2051917314529419,0.010197189636528492,x
1,0.009318036865442992,0.01112319938838482,17,0.23000000000000076,0.2800000000000008,15698,-44.37104797363281,80.5791015625,0.14059306681156158,0.25561365485191345,0.010189272463321686,x
1,0.009318036865442992,0.01112319938838482,18,0.2800000000000008,0.33000000000000085,15063,-54.36103820800781,73.3529052734375,0.13591735064983368,0.3042963743209839,0.010186159051954746,x
1,0.009318036865442992,0.01112319938838482,19,0.33000000000000085,0.3800000000000009,50585,-35.60469436645508,55.24993896484375,0.2362002432346344,0.369081974029541,0.010232960805296898,x
1,0.009318036865442992,0.01112319938838482,20,0.3800000000000009,0.43000000000000094,12925,-19.35721778869629,46.012508392333984,0.3111729025840759,0.3868025541305542,0.010152732022106647,x
1,0.009318036865442992,0.01112319938838482,21,0.43000000000000094,0.480000000000001,349,-54.15673828125,65.52316284179688,0.1968991756439209,0.45129862427711487,0.010186591185629368,x
1,0.009318036865442992,0.01112319938838482,22,0.480000000000001,0.530000000000001,166,-25.349740982055664,19.035877227783203,0.3739801347255707,0.5022879838943481,0.01003306359052658,x
1,0.009318036865442992,0.01112319938838482,23,0.530000000000001,0.5800000000000011,13,-28.949373245239258,0.4424510598182678,0.36816662549972534,0.5336922407150269,0.010716203600168228,x
2,0.01112319938838482,0.01349125001579523,1,-0.57,-0.5199999999999999,85,-1.124481439590454,11.516876220703125,-0.5221999883651733,-0.5301128029823303,0.012403975240886211,x
2,0.01112319938838482,0.01349125001579523,2,-0.5199999999999999,-0.46999999999999986,436,-14.644865036010742,34.89805603027344,-0.4040329158306122,-0.49339568614959717,0.01226856280118227,x
2,0.01112319938838482,0.01349125001579523,3,-0.46999999999999986,-0.4199999999999998,698,-46.09444046020508,51.80356216430664,-0.19159919023513794,-0.44105997681617737,0.012235295958817005,x
2,0.01112319938838482,0.01349125001579523,4,-0.4199999999999998,-0.3699999999999998,12344,-48.55666732788086,48.95405578613281,-0.1542079746723175,-0.37988194823265076,0.012277836911380291,x
2,0.01112319938838482,0.01349125001579523,5,-0.3699999999999998,-0.31999999999999973,12811,-57.57909393310547,63.56489562988281,-0.10404443740844727,-0.34563741087913513,0.012218784540891647,x
2,0.01112319938838482,0.01349125001579523,6,-0.31999999999999973,-0.2699999999999997,12244,-52.738224029541016,71.59730529785156,-0.10539282858371735,-0.29443809390068054,0.012192846275866032,x
2,0.01112319938838482,0.01349125001579523,7,-0.2699999999999997,-0.21999999999999964,13088,-48.219295501708984,73.81077575683594,-0.10007859021425247,-0.2451067417860031,0.012213030830025673,x
2,0.01112319938838482,0.01349125001579523,8,-0.21999999999999964,-0.1699999999999996,12200,-34.975990295410156,83.01722717285156,-0.11162331700325012,-0.195313960313797,0.012258931063115597,x
2,0.01112319938838482,0.01349125001579523,9,-0.1699999999999996,-0.11999999999999955,12608,-38.75547790527344,107.23220825195312,-0.07777019590139389,-0.14489349722862244,0.012239036150276661,x
2,0.01112319938838482,0.01349125001579523,10,-0.11999999999999955,-0.06999999999999951,13245,-61.680416107177734,166.34266662597656,-0.023303091526031494,-0.09441031515598297,0.012366287410259247,x
2,0.01112319938838482,0.01349125001579523,11,-0.06999999999999951,-0.019999999999999463,14878,-55.73100280761719,403.6375427246094,-0.013507033698260784,-0.0444423072040081,0.012363969348371029,x
2,0.01112319938838482,0.01349125001579523,12,-0.019999999999999463,0.030000000000000582,14193,-63.57892990112305,2830.739990234375,0.009454282931983471,0.005105196498334408,0.012324915267527103,x
2,0.01112319938838482,0.01349125001579523,13,0.030000000000000582,0.08000000000000063,14327,-26.72316551208496,293.89385986328125,0.03689758479595184,0.05488966777920723,0.012312368489801884,x
2,0.01112319938838482,0.01349125001579523,14,0.08000000000000063,0.13000000000000067,12484,-29.52693748474121,149.15298461914062,0.06539759039878845,0.10430286079645157,0.012225023470818996,x
2,0.01112319938838482,0.01349125001579523,15,0.13000000000000067,0.18000000000000071,11372,-32.74944305419922,100.72172546386719,0.09113407880067825,0.15470466017723083,0.012150794267654419,x
2,0.01112319938838482,0.01349125001579523,16,0.18000000000000071,0.23000000000000076,13208,-35.610599517822266,80.68793487548828,0.1151757538318634,0.20615775883197784,0.01225537434220314,x
2,0.01112319938838482,0.01349125001579523,17,0.23000000000000076,0.2800000000000008,12712,-36.54780960083008,67.19051361083984,0.1412041187286377,0.2540261149406433,0.012179584242403507,x
2,0.01112319938838482,0.01349125001579523,18,0.2800000000000008,0.33000000000000085,12752,-41.86983871459961,60.28767395019531,0.14907129108905792,0.30581745505332947,0.012189473025500774,x
2,0.01112319938838482,0.01349125001579523,19,0.33000000000000085,0.3800000000000009,43014,-32.14968490600586,46.9632682800293,0.22435273230075836,0.36720889806747437,0.012175055220723152,x
2,0.01112319938838482,0.01349125001579523,20,0.3800000000000009,0.43000000000000094,9285,-27.495485305786133,41.741947174072266,0.2585556209087372,0.3876380920410156,0.012122644111514091,x
2,0.01112319938838482,0.01349125001579523,21,0.43000000000000094,0.480000000000001,488,-34.83203125,57.55461120605469,0.2617465555667877,0.4537457823753357,0.012419487349689007,x
2,0.01112319938838482,0.01349125001579523,22,0.480000000000001,0.530000000000001,296,-40.39044952392578,56.50484848022461,0.2482256293296814,0.5003132224082947,0.012553739361464977,x
2,0.01112319938838482,0.01349125001579523,23,0.530000000000001,0.5800000000000011,20,-18.653371810913086,11.973219871520996,0.41190847754478455,0.5349375605583191,0.012572377920150757,x
3,0.01349125001579523,0.016767074167728425,1,-0.57,-0.5199999999999999,219,-5.863023281097412,24.300575256347656,-0.48419320583343506,-0.5338124632835388,0.015406112186610699,x
3,0.01349125001579523,0.016767074167728425,2,-0.5199999999999999,-0.46999999999999986,540,-45.8618049621582,50.97321319580078,-0.1451319307088852,-0.4963622987270355,0.015242594294250011,x
3,0.01349125001579523,0.016767074167728425,3,-0.46999999999999986,-0.4199999999999998,538,-53.133235931396484,52.0124397277832,-0.09268990159034729,-0.44443798065185547,0.015102545730769634,x
3,0.01349125001579523,0.016767074167728425,4,-0.4199999999999998,-0.3699999999999998,12432,-47.0939826965332,42.020973205566406,-0.11131200939416885,-0.3792200982570648,0.015051651746034622,x
3,0.01349125001579523,0.016767074167728425,5,-0.3699999999999998,-0.31999999999999973,10353,-46.2440185546875,53.41294479370117,-0.10507114976644516,-0.3467487394809723,0.015002869069576263,x
3,0.01349125001579523,0.016767074167728425,6,-0.31999999999999973,-0.2699999999999997,10279,-43.724395751953125,58.67721176147461,-0.10237036645412445,-0.29470983147621155,0.014982381835579872,x
3,0.01349125001579523,0.016767074167728425,7,-0.2699999999999997,-0.21999999999999964,11898,-48.084774017333984,68.10057830810547,-0.07002764940261841,-0.24427852034568787,0.014967938885092735,x
3,0.01349125001579523,0.016767074167728425,8,-0.21999999999999964,-0.1699999999999996,14099,-48.08214569091797,76.61406707763672,-0.054852649569511414,-0.19408364593982697,0.014942646957933903,x
3,0.01349125001579523,0.016767074167728425,9,-0.1699999999999996,-0.11999999999999955,14603,-39.57020568847656,91.06224822998047,-0.0592806376516819,-0.14557595551013947,0.015005241148173809,x
3,0.01349125001579523,0.016767074167728425,10,-0.11999999999999955,-0.06999999999999951,13303,-44.50200271606445,142.84124755859375,-0.0333128459751606,-0.09513140469789505,0.014957242645323277,x
3,0.01349125001579523,0.016767074167728425,11,-0.06999999999999951,-0.019999999999999463,15412,-7.267702102661133,362.23907470703125,-0.035895559936761856,-0.04379764199256897,0.014989928342401981,x
3,0.01349125001579523,0.016767074167728425,12,-0.019999999999999463,0.030000000000000582,15223,-34.52324295043945,2689.0556640625,0.0016344154719263315,0.004945921245962381,0.014926422387361526,x
3,0.01349125001579523,0.016767074167728425,13,0.030000000000000582,0.08000000000000063,14285,-40.975791931152344,272.2281799316406,0.02040153555572033,0.05477781966328621,0.01502516120672226,x
3,0.01349125001579523,0.016767074167728425,14,0.08000000000000063,0.13000000000000067,15909,-45.74357604980469,120.21112060546875,0.033452924340963364,0.10535889118909836,0.01516755297780037,x
3,0.01349125001579523,0.016767074167728425,15,0.13000000000000067,0.18000000000000071,15637,-37.33027648925781,87.66065216064453,0.06900697201490402,0.15459097921848297,0.015121927484869957,x
3,0.01349125001579523,0.016767074167728425,16,0.18000000000000071,0.23000000000000076,13558,-31.886144638061523,66.48485565185547,0.10591181367635727,0.2043055295944214,0.01511180680245161,x
