axis,gt_lo,gt_hi,mean_GT,total_std_lo,total_std_hi,mean_total_std,n,mean_bias_DER,med_bias_DER,mean_bias_gs,med_bias_gs
x,-0.57,-0.5199999999999999,-0.5434289574623108,0.005664600059390068,0.019518284499645235,0.014033377170562744,25100,0.27460119128227234,0.17304430902004242,0.31081560254096985,0.18589869141578674
x,-0.57,-0.5199999999999999,-0.5434289574623108,0.019518284499645235,0.03815350010991097,0.02753198891878128,25099,0.3455398678779602,0.1754629909992218,0.432830274105072,0.5159895420074463
x,-0.57,-0.5199999999999999,-0.5434289574623108,0.03815350010991097,0.0862165093421936,0.05889720097184181,25099,0.4978676736354828,0.47363176941871643,0.53047114610672,0.5455794930458069
x,-0.57,-0.5199999999999999,-0.5434289574623108,0.0862165093421936,0.18082391619682325,0.12882597744464874,25100,0.6070161461830139,0.8393158912658691,0.5427023768424988,0.5456225872039795
x,-0.57,-0.5199999999999999,-0.5434289574623108,0.18082391619682325,0.345356822013855,0.2556624114513397,25099,0.6139387488365173,0.8447855710983276,0.5379818081855774,0.5452074408531189
x,-0.57,-0.5199999999999999,-0.5434289574623108,0.345356822013855,0.6458612203598022,0.4793274402618408,25099,0.5999855995178223,0.8360391855239868,0.5409613251686096,0.5462883114814758
x,-0.57,-0.5199999999999999,-0.5434289574623108,0.6458612203598022,1.2588229894638043,0.9167272448539734,25100,0.6041231751441956,0.8223370909690857,0.5458740592002869,0.5461922883987427
x,-0.57,-0.5199999999999999,-0.5434289574623108,1.2588229894638043,2.6564772129058847,1.8510576486587524,25099,0.5838472843170166,0.7625489830970764,0.5456048250198364,0.546074628829956
x,-0.57,-0.5199999999999999,-0.5434289574623108,2.6564772129058847,6.922464799880985,4.372212886810303,25099,0.5881329774856567,0.6569276452064514,0.538741946220398,0.5463387370109558
x,-0.57,-0.5199999999999999,-0.5434289574623108,6.922464799880985,464.6460876464844,18.834802627563477,25099,0.5844759941101074,0.6073777675628662,0.5477152466773987,0.5484310984611511
x,-0.5199999999999999,-0.46999999999999986,-0.4947798550128937,0.005829584319144487,0.013495056144893169,0.010705022141337395,26942,0.2230982482433319,0.10627073049545288,0.2566693425178528,0.12838301062583923
x,-0.5199999999999999,-0.46999999999999986,-0.4947798550128937,0.013495056144893169,0.02142562307417393,0.016958385705947876,26942,0.3308020234107971,0.15741966664791107,0.3970738351345062,0.4262903034687042
x,-0.5199999999999999,-0.46999999999999986,-0.4947798550128937,0.02142562307417393,0.04080697968602179,0.02961486391723156,26942,0.4091329276561737,0.2740173935890198,0.46731361746788025,0.4899548292160034
x,-0.5199999999999999,-0.46999999999999986,-0.4947798550128937,0.04080697968602179,0.08792331069707872,0.06177426502108574,26942,0.4641890525817871,0.44039851427078247,0.4876047372817993,0.49609434604644775
x,-0.5199999999999999,-0.46999999999999986,-0.4947798550128937,0.08792331069707872,0.1794053167104721,0.12984520196914673,26941,0.49959439039230347,0.5933802127838135,0.49058207869529724,0.49571865797042847
x,-0.5199999999999999,-0.46999999999999986,-0.4947798550128937,0.1794053167104721,0.3372809410095214,0.2499215304851532,26942,0.525217592716217,0.7385374307632446,0.4900885224342346,0.495050311088562
x,-0.5199999999999999,-0.46999999999999986,-0.4947798550128937,0.3372809410095214,0.6531128168106078,0.47825416922569275,26942,0.5591952204704285,0.7833324670791626,0.4923464059829712,0.4969547390937805
x,-0.5199999999999999,-0.46999999999999986,-0.4947798550128937,0.6531128168106078,1.418718028068543,0.9683628678321838,26942,0.5632451772689819,0.7701517343521118,0.4960474371910095,0.49749046564102173
x,-0.5199999999999999,-0.46999999999999986,-0.4947798550128937,1.418718028068543,3.8863735198974636,2.404395341873169,26942,0.5914494395256042,0.7431778907775879,0.4944939613342285,0.4971579611301422
x,-0.5199999999999999,-0.46999999999999986,-0.4947798550128937,3.8863735198974636,203.58152770996094,11.468441009521484,26941,0.5895280838012695,0.6466875672340393,0.49146151542663574,0.498139351606369
x,-0.46999999999999986,-0.4199999999999998,-0.4427582621574402,0.00540845887735486,0.010885188356041908,0.009175131097435951,31730,0.2295685112476349,0.08165131509304047,0.24516978859901428,0.10061457753181458
